"drugbank_id","entrez_id","category","subcategory","ID","Description","FoldEnrichment","pvalue","p.adjust"
"DB00363","1576","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450",3.82098133588867,2.1481239626079e-25,6.8544682806852e-24
"DB00363","1576","Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes",3.6445771452945,3.12522338605556e-25,9.14127840421252e-24
"DB00363","1576","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts",3.84242561889621,9.70032358138687e-25,2.61908736697446e-23
"DB00363","1576","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation",2.52489138637146,2.50003341377816e-24,5.8500781882409e-23
"DB00363","1576","Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450",3.59382986858787,1.60547019841588e-23,3.3148237626116e-22
"DB00363","1576","Organismal Systems","Digestive system","hsa04976","Bile secretion",3.32061473237944,7.47555043776763e-22,1.24948485888402e-20
"DB00363","1576","Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis",3.5470202823144,3.14768600505678e-19,4.24937610682665e-18
"DB00363","1576","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism",3.36944730197325,1.95119920235252e-17,2.07536642432041e-16
"DB00363","1576","Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism",2.32443031266561,0.000920013174241156,0.00155252223153195
"DB00363","1544","Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species",2.98416478152161,1.9534701412659e-40,2.28556006528111e-38
"DB00363","1544","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450",3.82098133588867,2.1481239626079e-25,6.8544682806852e-24
"DB00363","1544","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts",3.84242561889621,9.70032358138687e-25,2.61908736697446e-23
"DB00363","1544","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation",2.52489138637146,2.50003341377816e-24,5.8500781882409e-23
"DB00363","1544","Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450",3.59382986858787,1.60547019841588e-23,3.3148237626116e-22
"DB00363","1544","Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis",3.5470202823144,3.14768600505678e-19,4.24937610682665e-18
