Drug,Target
DB00001,2147
DB00002,1956
DB00002,2215
DB00002,715
DB00002,712
DB00002,713
DB00002,714
DB00002,2214
DB00002,716
DB00002,2209
DB00002,2212
DB00002,2213
DB00002,9103
DB00003,1773
DB00004,3559
DB00004,3560
DB00004,3561
DB00005,2215
DB00005,715
DB00005,712
DB00005,713
DB00005,714
DB00005,2214
DB00005,716
DB00005,2209
DB00005,2212
DB00005,2213
DB00005,9103
DB00005,7124
DB00005,7133
DB00005,4049
DB00006,2147
DB00006,4353
DB00007,2798
DB00007,1576
DB00008,3455
DB00008,3454
DB00008,1544
DB00009,5340
DB00009,2243
DB00009,5329
DB00009,5054
DB00010,2692
DB00011,3455
DB00011,3454
DB00012,2057
DB00013,5340
DB00013,5329
DB00013,5054
DB00013,5328
DB00013,5327
DB00013,5055
DB00013,5104
DB00013,4036
DB00013,6768
DB00013,4811
DB00014,2798
DB00014,3973
DB00015,5340
DB00015,2243
DB00015,5329
DB00015,5054
DB00016,2057
DB00017,799
DB00018,3455
DB00018,3454
DB00019,1441
DB00019,1991
DB00020,1438
DB00020,3563
DB00020,1439
DB00020,6383
DB00020,5553
DB00022,3455
DB00022,3454
DB00022,1544
DB00022,1565
DB00022,1559
DB00023,6906
DB00024,7253
DB00025,2147
DB00025,2159
DB00025,2158
DB00025,7450
DB00025,5264
DB00025,433
DB00025,3309
DB00025,811
DB00025,821
DB00025,3998
DB00025,4035
DB00025,90411
DB00025,5624
DB00026,3554
DB00027,5243
DB00028,2215
DB00028,2214
DB00028,2209
DB00028,2212
DB00028,2213
DB00028,9103
DB00028,718
DB00028,720
DB00028,721
DB00028,727
DB00029,5340
DB00029,2243
DB00029,5329
DB00029,5054
DB00030,3643
DB00030,3480
DB00030,5925
DB00030,3416
DB00030,5126
DB00030,1363
DB00030,5122
DB00031,5340
DB00031,2243
DB00031,5329
DB00031,5054
DB00031,5055
DB00031,811
DB00031,821
DB00031,4035
DB00031,7123
DB00031,3856
DB00031,302
DB00032,3973
DB00032,2492
DB00033,3459
DB00033,3460
DB00034,3455
DB00034,3454
DB00035,554
DB00035,552
DB00035,553
DB00035,5742
DB00035,5743
DB00036,2159
DB00036,3249
DB00036,7035
DB00036,2677
DB00036,2155
DB00036,2152
DB00038,3590
DB00039,2263
DB00039,8829
DB00039,2260
DB00039,2264
DB00039,2261
DB00039,3339
DB00040,2642
DB00040,9340
DB00040,2740
DB00041,3559
DB00041,3560
DB00041,3561
DB00041,1576
DB00041,5743
DB00041,5321
DB00041,7498
DB00041,1571
DB00042,6844
DB00042,6843
DB00042,127833
DB00043,2205
DB00043,2206
DB00044,3973
DB00045,7097
DB00046,3643
DB00046,3480
DB00047,3643
DB00047,3480
DB00048,1277
DB00048,1280
DB00048,1281
DB00048,1278
DB00050,2798
DB00050,3973
DB00051,7124
DB00052,2690
DB00052,5618
DB00053,2629
DB00054,2215
DB00054,715
DB00054,712
DB00054,713
DB00054,714
DB00054,2214
DB00054,716
DB00054,2209
DB00054,2212
DB00054,2213
DB00054,9103
DB00054,3690
DB00054,3674
DB00054,7448
DB00055,2147
DB00055,5054
DB00055,5104
DB00055,2677
DB00055,2157
DB00055,2153
DB00055,7056
DB00055,5627
DB00055,1356
DB00055,5196
DB00055,5269
DB00055,10544
DB00056,2215
DB00056,715
DB00056,712
DB00056,713
DB00056,714
DB00056,2214
DB00056,716
DB00056,2209
DB00056,2212
DB00056,2213
DB00056,9103
DB00056,945
DB00058,1991
DB00059,6906
DB00060,3455
DB00060,3454
DB00061,2885
DB00063,3690
DB00065,7124
DB00066,2492
DB00067,554
DB00067,552
DB00067,553
DB00067,1244
DB00068,3455
DB00068,3454
DB00069,3455
DB00069,3454
DB00070,7040
DB00070,213
DB00071,4036
DB00071,3643
DB00071,3480
DB00071,5925
DB00071,3416
DB00071,5126
DB00071,1363
DB00071,5122
DB00071,3118
DB00071,3119
DB00071,1509
DB00071,3490
DB00071,94121
DB00072,1956
DB00072,2215
DB00072,715
DB00072,712
DB00072,713
DB00072,714
DB00072,2214
DB00072,716
DB00072,2209
DB00072,2212
DB00072,2213
DB00072,9103
DB00072,2064
DB00072,1588
DB00073,931
DB00074,2215
DB00074,715
DB00074,712
DB00074,713
DB00074,714
DB00074,2214
DB00074,716
DB00074,2209
DB00074,2212
DB00074,2213
DB00074,9103
DB00074,3559
DB00074,3560
DB00075,2215
DB00075,715
DB00075,712
DB00075,713
DB00075,714
DB00075,2214
DB00075,716
DB00075,2209
DB00075,2212
DB00075,2213
DB00075,9103
DB00075,915
DB00075,916
DB00075,917
DB00075,919
DB00078,2215
DB00078,715
DB00078,712
DB00078,713
DB00078,714
DB00078,2214
DB00078,716
DB00078,2209
DB00078,2212
DB00078,2213
DB00078,9103
DB00078,931
DB00081,2215
DB00081,715
DB00081,712
DB00081,713
DB00081,714
DB00081,2214
DB00081,2209
DB00081,2212
DB00081,2213
DB00081,9103
DB00081,931
DB00082,1576
DB00082,2690
DB00082,1593
DB00082,2752
DB00082,1562
DB00082,590
DB00082,1557
DB00082,1579
DB00083,6616
DB00083,388
DB00085,279
DB00086,5340
DB00086,5321
DB00086,2149
DB00087,2215
DB00087,715
DB00087,712
DB00087,713
DB00087,714
DB00087,2214
DB00087,2209
DB00087,2212
DB00087,2213
DB00087,9103
DB00087,1043
DB00088,2629
DB00089,2346
DB00090,3425
DB00091,1576
DB00091,1565
DB00091,1559
DB00091,5243
DB00091,1244
DB00091,1557
DB00091,819
DB00091,5535
DB00091,5478
DB00091,10105
DB00091,1551
DB00091,1577
DB00091,1558
DB00091,8714
DB00091,8647
DB00091,6579
DB00091,6555
DB00091,6554
DB00091,9356
DB00091,89845
DB00091,9429
DB00091,10599
DB00092,2215
